#
#,,寸法型式
#,,,断面呼称(12s)　ｻｲｽﾞ(bxh) SK & HK & GN usingflag
#,,,根太(n);スタッド(s);柱(p);梁(h);トラス(t);マグサ(m);合板(g);マグサ受(u);土台(o)
#,,,金物(k):小屋 (y):床 (b):壁 (a):基礎( );ホールダウン金物(d);垂木(r)
#,,,スクリューネイル(e);壁パッキン合板(f)
#,,,スクリューネイル線分(l) ;DSPSN
#,,,壁厚(204|206)(w)固定(c)束(t)建具(x)
#
#,No,寸法型式,部材幅,芯ずれ,部材高さ,使用部位,寸法型式(W)
,208,BH2-208,76,,184,           yb  ,BH2-208,,,吊天井根太受金物,,TN-75
,209,BH2-210,76,,235,           yb  ,BH2-210,,,野縁,,36x45
,210,BH2-212,76,,286,           yb  ,BH2-212
,211,BH3-208,114,,184,            b  ,BH3-208
,212,BH3-210,114,,235,           yb  ,BH3-210
,213,BH3-212,114,,286,           yb  ,BH3-212
,214,BHS3-210.R45,114,,235,           yb  ,BHS3-210.R45
,215,BHS3-210.L45,114,,235,           yb  ,BHS3-210.L45
,216,BH-410,89,,235,           yb  ,BH-410
,217,BH-412,89,,286,           yb  ,BH-412
,218,BH-610,140,,235,           yb  ,BH-610
,219,BH-612,140,,286,           yb  ,BH-612
,220,HH-406,89,,140,           yb  ,HH-406
,221,HH-410,89,,235,           yb  ,HH-410
,222,BH-410(L),89,,235,           yb  ,BH-410(L)
,223,BH-412(L),89,,286,           yb  ,BH-412(L)
,224,BH-410(R) ,89,,235,           yb  ,BH-410(R) 
,225,BH-412(R) ,89,,286,           yb  ,BH-412(R) 
,226,BH-610(L) ,140,,235,           yb  ,BH-610(L) 
,227,BH-612(L) ,140,,286,           yb  ,BH-612(L) 
,228,BH-610(R) ,140,,235,           yb  ,BH-610(R) 
,229,BH-612(R) ,140,,235,           yb  ,BH-612(R) 
,230,TN-75,38,,89,           y  ,TN-75
,231,TH-204.6,38,,89,           yb  ,TH-204.6
,232,CP.L,    ,,    ,                ,CP.L
,233,CP.T,    ,,    ,                ,CP.T
,234,CP.L50,    ,,    ,                  ,CP.L50
,235,RH-1,    ,,    ,            b   ,RH-1
,236,RH-2,    ,,    ,            b   ,RH-2
,237,LH-204,55,,89,            b   ,LH-204
,238,LH-206,55,,140,            b   ,LH-206
,239,PG,    ,,    ,              ,PG
,240,M16W-L,    ,,    ,             a  ,M16W-L
,241,A-40,24,,19,             a  ,A-40
,242,A-50,24,,19,             a  ,A-50
,243,A-60,30,,19,             a  ,A-60
,244,A-70,35,,19,             a  ,A-70
,245,HDBB-10-110,110,,350,              d ,HDBB-10-110
,246,HDBB-10-150,150,,350,              d ,HDBB-10-150
,247,HDBB-10-190,190,,350,              d ,HDBB-10-190
,248,HDBB-15-110,110,,450,              d ,HDBB-15-110
,249,HDBB-15-150,150,,450,              d ,HDBB-15-150
,250,HDBB-15-190,190,,450,              d ,HDBB-15-190
,251,HDBB-20-110,110,,550,              d ,HDBB-20-110
,252,HDBB-20-150,150,,550,              d ,HDBB-20-150
,253,HDBB-20-190,190,,550,              d ,HDBB-20-190
,254,HDBB-25-110,110,,650,              d ,HDBB-25-110
,255,HDBB-25-150,150,,650,              d ,HDBB-25-150
,256,HDBB-25-190,190,,650,              d ,HDBB-25-190
,257,HDBS-10-75,75,,350,              d ,HDBS-10-75
,258,HDBS-10-90,90,,350,              d ,HDBS-10-90
,259,HDBS-15-75,75,,450,              d ,HDBS-15-75
,260,HDBS-15-90,90,,450,              d ,HDBS-15-90
,261,HDBS-20-75,75,,550,              d ,HDBS-20-75
,262,HDBS-20-90,90,,550,              d ,HDBS-20-90
,263,HDBS-25-75,75,,650,              d ,HDBS-25-75
,264,HDBS-25-90,90,,650,              d ,HDBS-25-90
,265,LH-DUMMY,89,,38,            b   ,LH-DUMMY
,266,NOBI,89,,38,            b   ,NOBI
#,267,ネイル釘,,,,,ネイル釘
#,268
,269,SN-LINE150,0,,150,                  l,SN-LINE150
,270,SN-LINE180,0,,180,                  l,SN-LINE180
,271,SN-LINE195,0,,195,                  l,SN-LINE195
,272,SN-LINE235,0,,235,                  l,SN-LINE235
,273,SN-LINE245,0,,245,                  l,SN-LINE245
,274,SN-LINE275,0,,275,                  l,SN-LINE275
,275,SN-LINE310,0,,310,                  l,SN-LINE310
,276,SN-LINE340,0,,340,                  l,SN-LINE340
,277,N-150,24,,150,                e  ,N-150
,278,N-200,24,,200,                e  ,N-200
,279,SN-7,24,,150,                e  ,SN-7
,280,SN-9,24,,200,                e  ,SN-9
,281,SN-10 ,24,,200,                e  ,SN-10 
,282,SN-11,24,,200,                e  ,SN-11
,283,SN-12,24,,200,                e  ,SN-12
,284,SN-14,24,,200,                e  ,SN-14
,285,180SN,24,,180,                e  ,180SN
,286,195SN,24,,195,                e  ,195SN
,287,235SN,24,,235,                e  ,235SN
,288,245SN,24,,245,                e  ,245SN
,289,275SN,24,,275,                e  ,275SN
,290,310SN,24,,310,                e  ,310SN
,291,340SN,24,,340,                e  ,340SN
#,292,壁,,,,,壁
,293,204C,92,,,                    w,204C
,294,206R,144,25.5,,                    w,206R
,295,206L,144,-25.5,,                    w,206L
,296,206C,144,,,                    w,206C
,297,2106,2100,,,                    x,2106
,298,120,120,,750,z,120
,298,180,180,,750,z,180
